evaluation_role,family,model,target_pct,n,source_files,mae_pp,rmse_pp,bias_pp,median_ae_pp,p95_ae_pp,max_ae_pp,within_4pp,clipped_fraction
REUSED_CONFIRMATION,PGD-PGS,Piecewise-V,60.0,166,3,1.488276121232046,1.7371600361422133,-1.2056067273823765,1.4693838815463778,3.0982557501083576,3.4130862910858824,1.0,0.0
REUSED_CONFIRMATION,PGD-PGS,V,10.0,94,3,8.031153162065552,8.046678415649748,8.031153162065552,8.04612121631283,8.800106110668457,9.235804675821718,0.0,0.0
REUSED_CONFIRMATION,PGD-PGS,V,45.0,173,3,10.650719396521685,10.671035371634675,-10.650719396521685,10.536916699813105,12.003725389722343,12.588509587615846,0.0,0.0
REUSED_CONFIRMATION,PGD-PGS,V,60.0,166,3,12.262845250823386,12.35360545164964,-12.262845250823386,12.511427240530256,14.52477541521932,14.90103360612492,0.0,0.0
REUSED_CONFIRMATION,PGT-PGD,C,10.0,152,1,2.4643912555168286,3.42200443295466,0.4811066875100904,1.9331692774303306,5.815266865018992,19.81237356378003,0.8421052631578947,0.0
REUSED_CONFIRMATION,PGT-PGD,C,45.0,189,1,8.194611979916475,8.202314889037059,-8.194611979916475,8.229831909841941,8.75814221179023,8.998462440920747,0.0,0.0
REUSED_CONFIRMATION,PGT-PGD,C,60.0,80,1,11.409066985054034,11.421501303049276,-11.409066985054034,11.300799357844944,12.474602597220292,13.290315089021789,0.0,0.0
REUSED_CONFIRMATION,PGT-PGD,C+P+V,10.0,152,1,4.382775892621828,4.998713156775382,-4.09232354726543,4.299153990199947,8.35666017524695,10.0,0.48026315789473684,0.013157894736842105
REUSED_CONFIRMATION,PGT-PGD,C+P+V,45.0,189,1,4.3243811100504,4.695372533400358,-4.282049221080956,4.347215333028679,7.4853298844712155,9.951952838876437,0.4444444444444444,0.0
REUSED_CONFIRMATION,PGT-PGD,C+P+V,60.0,80,1,13.738558386998609,13.87801524312517,-13.738558386998609,13.39330977931764,16.795648030061614,17.582035400666513,0.0,0.0
REUSED_CONFIRMATION,PGT-PGD,C+P+V+route,10.0,152,1,5.1491642730324045,5.253370408276539,-5.1491642730324045,5.109331767810923,6.983690582727371,7.305570509458622,0.14473684210526316,0.0
REUSED_CONFIRMATION,PGT-PGD,C+P+V+route,45.0,189,1,4.616028014275611,4.650070295410629,-4.616028014275611,4.6130795751684985,5.5047086583430485,6.0826311744682755,0.13227513227513227,0.0
REUSED_CONFIRMATION,PGT-PGD,C+P+V+route,60.0,80,1,21.68208916421289,21.7137393791857,-21.68208916421289,21.5812646542011,23.53307120460643,24.835430963164008,0.0,0.0
REUSED_CONFIRMATION,PGT-PGD,C+V,10.0,152,1,3.8987819681187994,4.474490656556734,-3.3303839581501196,3.995772311968146,7.162350317331036,9.821621543606186,0.506578947368421,0.0
REUSED_CONFIRMATION,PGT-PGD,C+V,45.0,189,1,9.901752367412476,10.019562358752616,-9.901752367412476,9.806155283401381,12.59915986808445,14.152529436100153,0.0,0.0
REUSED_CONFIRMATION,PGT-PGD,C+V,60.0,80,1,10.9422666364305,11.021454624550438,-10.9422666364305,10.91629876273629,12.851843765885615,13.43372304749829,0.0,0.0
REUSED_CONFIRMATION,PGT-PGD,OLS-V,10.0,152,1,7.087145449358475,7.647160300024526,-7.043743976109513,7.668730233407459,10.0,10.0,0.17105263157894737,0.25
REUSED_CONFIRMATION,PGT-PGD,OLS-V,45.0,189,1,12.757446369276824,13.090853134050485,-12.757446369276824,12.623909264030559,17.737384457956654,20.95327954331259,0.0,0.0
REUSED_CONFIRMATION,PGT-PGD,OLS-V,60.0,80,1,11.914120984464791,12.251315010694675,-11.914120984464791,11.76395895618365,16.11200590565089,17.11872115822314,0.0,0.0
REUSED_CONFIRMATION,PGT-PGD,P,10.0,152,1,2.375155704288414,3.0147509738370135,-0.524565509863599,1.9814519183694017,5.778330941012433,9.294145680112656,0.8157894736842105,0.0
REUSED_CONFIRMATION,PGT-PGD,P,45.0,189,1,1.923008238573987,2.4788994618792874,-0.4894256155953343,1.419066982379185,5.1307153960882665,7.540438066423903,0.8835978835978836,0.0
REUSED_CONFIRMATION,PGT-PGD,P,60.0,80,1,11.085815032383378,11.482211446414246,-11.085815032383378,10.85061103870924,15.591495906058396,16.7961568312027,0.0,0.0
REUSED_CONFIRMATION,PGT-PGD,Piecewise-V,10.0,152,1,8.545214242191195,8.796362974515377,-8.545214242191195,9.732610361851997,10.0,10.0,0.05921052631578947,0.0
REUSED_CONFIRMATION,PGT-PGD,Piecewise-V,45.0,189,1,14.838341426171345,15.944332991378628,-14.781182235953475,15.2933314474503,22.836032745712494,25.66047298957593,0.026455026455026454,0.0
REUSED_CONFIRMATION,PGT-PGD,Piecewise-V,60.0,80,1,4.461616768961661,4.9104756318818445,-4.442856249163187,4.33284114947357,7.518405596599981,8.255968082526437,0.4125,0.0
REUSED_CONFIRMATION,PGT-PGD,V,10.0,152,1,2.7814411309855864,3.4557526362523783,-1.297119039333075,2.494114268676153,6.599049251902914,10.0,0.7368421052631579,0.006578947368421052
REUSED_CONFIRMATION,PGT-PGD,V,45.0,189,1,10.538806970254486,10.839280604736741,-10.538806970254486,10.423518367358632,14.838212020954975,17.61463922271715,0.0,0.0
REUSED_CONFIRMATION,PGT-PGD,V,60.0,80,1,11.860549938466793,12.113884806293704,-11.860549938466793,11.730908290052945,15.484773234220963,16.353915895123755,0.0,0.0
